engine,engine_label,n,dimensions,cache_mb,clusters,noise,batch,accuracy,hnsw_m,hnsw_ef_add,hnsw_ef,inserts_per_s,updates_per_s,mixed_per_s,mem_mb,warm_mem_mb,disk_mb,save_ms,run_seconds,error
hnsw,HnswVectorIndex,100000,1536,10,200,1,5000,0.25,16,128,64,144.364,159.216,186.637,18.342,50.409,759.576,201.484,794.259,
memory,MemorySemanticIndex,100000,1536,100,200,1,5000,0.25,16,128,64,78797.878,1415127.715,184.656,592.42,598.46,587.082,1022.703,40.08,
ivs,IVSVectorIndex,100000,1536,100,200,1,5000,0.25,16,128,64,29015.399,1273966.495,63.081,6.291,103.901,587.465,261.222,104.496,
hnsw,HnswVectorIndex,100000,1536,100,200,1,5000,0.25,16,128,64,14809.121,1953.844,1474.137,200.216,225.493,759.576,212.022,38.248,
memory,MemorySemanticIndex,100000,1536,500,200,1,5000,0.25,16,128,64,78831.211,1371083.842,187.383,592.42,598.453,587.082,989.076,39.69,
ivs,IVSVectorIndex,100000,1536,500,200,1,5000,0.25,16,128,64,29366.377,1371930.306,214.752,6.291,505.055,587.465,245.746,34.25,
hnsw,HnswVectorIndex,100000,1536,500,200,1,5000,0.25,16,128,64,15487.455,1965.183,1477.145,216.959,242.236,759.576,211.197,37.946,
memory,MemorySemanticIndex,100000,1536,2000,200,1,5000,0.25,16,128,64,76415.998,1405185.133,186.876,592.42,598.455,587.082,1005.52,39.984,
ivs,IVSVectorIndex,100000,1536,2000,200,1,5000,0.25,16,128,64,28566.471,1444356.178,547.953,6.291,604.28,587.465,256.742,18.604,
hnsw,HnswVectorIndex,100000,1536,2000,200,1,5000,0.25,16,128,64,15616.801,1880.565,3896.184,816.737,842.054,759.576,203.55,16.342,
memory,MemorySemanticIndex,500000,1536,10,200,1,5000,0.25,16,128,64,83377.496,1348435.814,38.744,2959.122,2965.109,2935.41,5053.685,215.432,
ivs,IVSVectorIndex,500000,1536,10,200,1,5000,0.25,16,128,64,23521.272,1332622.601,11.695,26.395,31.845,2937.329,35.937,562.44,
hnsw,HnswVectorIndex,500000,1536,10,200,1,5000,0.25,16,128,64,70.139,54.895,69.43,42.443,48.075,3797.877,280.622,7332.434,
memory,MemorySemanticIndex,500000,1536,100,200,1,5000,0.25,16,128,64,81629.148,1435235.02,38.497,2959.122,2965.109,2935.41,5031.534,212.054,
ivs,IVSVectorIndex,500000,1536,100,200,1,5000,0.25,16,128,64,25465.176,1336898.396,11.945,26.392,124.082,2937.329,37.376,542.967,
hnsw,HnswVectorIndex,500000,1536,100,200,1,5000,0.25,16,128,64,11068.905,1233.527,1101.961,917.763,918.654,3797.877,335.795,72.917,
memory,MemorySemanticIndex,500000,1536,500,200,1,5000,0.25,16,128,64,81753.139,1346257.404,38.789,2959.122,2965.109,2935.41,4976.297,189.597,
ivs,IVSVectorIndex,500000,1536,500,200,1,5000,0.25,16,128,64,24163.126,1335202.617,13.549,26.395,521.844,2937.329,37.599,493.32,
hnsw,HnswVectorIndex,500000,1536,500,200,1,5000,0.25,16,128,64,11331.746,1204.021,1090.219,935.869,936.762,3797.877,317.134,71.642,
memory,MemorySemanticIndex,500000,1536,2000,200,1,5000,0.25,16,128,64,83434.3,1482030.382,38.677,2959.122,2965.112,2935.41,4839.236,220.242,
